cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,video_url,paid
UgxokclGBDxsTOqz-XR4AaABAg,Tiba masanya Sumatra berpisah dr Indonesia kerna gagal mentakbir negara,07-07-2026 23:35:47,@deandin3068,UCQvSdkDKNfjU3Eqo7p2llZw,0,,https://yt3.ggpht.com/ytc/AIdro_lxy2NXNyBgDZbw-Y5Y5YYnp6S8rimrC2OqDkv2F-Qrj0g=s88-c-k-c0x00ffffff-no-rj,False,False,1783467347.123262,https://www.youtube.com/watch?v=0BRFlBVWH3c,
UgznI1mbhj8G8Mkmo4t4AaABAg,"11:16  beliau mengutamakan muridnya menjadi baik dahulu. 

Respect pak, jasa mu tak tergganti ❤",05-07-2026 02:35:47,@KuchoengNyudae,UCeMKvFL929jDmZdQsohJWVw,0,,https://yt3.ggpht.com/ytc/AIdro_m-Whn0Wjn4D0JTJ5rHJka27FaY5osfTymbSE6CCkgHNVQ=s88-c-k-c0x00ffffff-no-rj,False,False,1783218947.125674,https://www.youtube.com/watch?v=0BRFlBVWH3c,
UgysLjO9gDxSdSGsPAN4AaABAg,pasti ada pihak 3 yg memberikan racun utk menjatukan prabowo,04-07-2026 02:35:47,@Ammarbm-rx4zw,UCBzqS8B0Wznjexn72uLKDbg,0,,https://yt3.ggpht.com/ytc/AIdro_meYAh6NPkc3qZ9RQbztfozX2jknUqc69hcasQTLZa7CCWY6MHmzRI1I6I59gYFhEiQXA=s88-c-k-c0x00ffffff-no-rj,False,False,1783132547.127826,https://www.youtube.com/watch?v=0BRFlBVWH3c,
Ugxmn111o_y5ASKsoEt4AaABAg,Ngeriii ya pengajar digajih sedikit.pegawai MBG dikasih motor gajih gdee,02-07-2026 02:35:47,@SuhaeliParid-sq8wn,UCpPr-5-Esm5OGtzajFQ67Lg,0,,https://yt3.ggpht.com/ytc/AIdro_nn2r27xgt-QLsA4NOafS588bIhGJEP80r8XEC4pJEMwtmsmIosL5hG9gzQ2AyEbG8G0A=s88-c-k-c0x00ffffff-no-rj,False,False,1782959747.129804,https://www.youtube.com/watch?v=0BRFlBVWH3c,
UgzMImGEf8PsgIY2OFx4AaABAg,MBG Mas Bwahlil Genteng,30-06-2026 02:35:47,@xiaoling6867,UCMCuwwCIBgLJymsn9jCd6fw,0,,https://yt3.ggpht.com/ytc/AIdro_nW6zUsPmvIJJvJqsR2r6eI2FMrl2lRmr1ATIPqoXh67LJfNLScA4BjvVGG7MSCwhIIsQ=s88-c-k-c0x00ffffff-no-rj,False,False,1782786947.131763,https://www.youtube.com/watch?v=0BRFlBVWH3c,
Ugy6OMtsb_C5HbTyrI94AaABAg,Dzolimnya penguasa 😢😢,24-06-2026 02:35:47,@radityameizamalfq766,UCafkscxWoozINtmPCktw44w,0,,https://yt3.ggpht.com/gOC4WWjQUCrl5Y0H4nlctJ4TVesQ6IGFYv5DoneZRWINCyCVTl3MnEWYI5Fp6Y4j-Y4Y-ynh7OI=s88-c-k-c0x00ffffff-no-rj,False,False,1782268547.133596,https://www.youtube.com/watch?v=0BRFlBVWH3c,
UgzE0JLmTK_Pi_1ZEv54AaABAg,"chanel George Soros, benci lihat indonesia kenyang, benci lihat indonesia mandiri",17-06-2026 02:35:47,@paperplastikguy8728,UCvW9FEWiXEcFi7CbUZyqqhA,0,,https://yt3.ggpht.com/HvgmYMb8gxGfsp7f4vMKvKoJWvh8I5PQT4ucp18kuqhEzjf4LbliIffxeoUEa6NqTzZXYXOCl0I=s88-c-k-c0x00ffffff-no-rj,False,False,1781663747.135387,https://www.youtube.com/watch?v=0BRFlBVWH3c,
UgwlgYG9sxVmHv_lUIZ4AaABAg,Nak pada bawa bekal dari rumah itu layak dimakan bawalah seperti biasa supaya slamat,17-06-2026 02:35:47,@VivoMajenang-j3w,UCvu3v2zkOCnnKt7UbzvAt4Q,0,,https://yt3.ggpht.com/ytc/AIdro_kB-e-3d1p4ytuTR5x3YUZFIAHkxxFZy_2KHFYn2rte76VkJIG-rjHEojN9o8dDu9ogOA=s88-c-k-c0x00ffffff-no-rj,False,False,1781663747.137178,https://www.youtube.com/watch?v=0BRFlBVWH3c,
UgzwSLZf3HSshJoseDJ4AaABAg,lengserkan Prabowo segera,17-06-2026 02:35:47,@bardanwasiat2622,UCnAypJ1j_WWufxg_5Mtrx-A,0,,https://yt3.ggpht.com/ytc/AIdro_lxa2QnSddVRo9qlYcXnUFNLycBvDRGB1yWSCKKm0Y=s88-c-k-c0x00ffffff-no-rj,False,False,1781663747.138963,https://www.youtube.com/watch?v=0BRFlBVWH3c,
UgyiokgzdwHnagxd8Xp4AaABAg,"""hanya"", sebegitu ga pentingkah nyawa 200 orang yang aslinya malah lebih dari 16.000 ribu orang itu?! Ga habis pikir",17-06-2026 02:35:47,@Nadine.study5234,UCKHk3IWwJ-6qTwuzEXgeoaw,0,,https://yt3.ggpht.com/ytc/AIdro_n1guDiz8iQIUgFGnmh5VA5PJlNSiWQwX3Ik0ywlPv8JUDRXZiF6wxDvbC7F3YSi1BdlA=s88-c-k-c0x00ffffff-no-rj,False,False,1781663747.140733,https://www.youtube.com/watch?v=0BRFlBVWH3c,
